,Rodada,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
339,37,CR Vasco da Gama,Mirassol FC,0,2,14,8,4,1,2,5,10,1,8,19,21,10,0,3
340,37,Grêmio FBPA,Fluminense FC,1,2,16,6,5,2,0,6,10,0,12,14,14,14,2,0
341,37,Fortaleza EC,SC Corinthians,2,1,10,20,3,6,6,1,0,7,15,15,15,18,5,0
342,37,EC Juventude,Santos FC,0,3,12,10,6,4,3,3,5,3,11,12,13,12,2,0
343,37,São Paulo FC,SC Internacional,3,0,12,15,4,6,4,4,4,9,19,16,16,19,0,2
344,37,EC Bahia,Sport Recife,2,0,27,7,11,3,3,12,6,2,11,11,11,11,2,1
345,37,CR Flamengo,Ceará SC,1,0,15,1,11,0,1,3,4,3,5,11,11,5,0,0
346,37,Cruzeiro EC,Botafogo FR,2,2,10,8,5,3,3,2,1,7,14,12,12,15,1,1
347,38,Mirassol FC,CR Flamengo,3,3,17,15,8,8,3,5,2,3,9,11,11,10,4,1
348,38,Fluminense FC,EC Bahia,2,0,12,14,4,5,5,3,5,4,18,12,12,22,0,2
349,38,Botafogo FR,Fortaleza EC,4,2,15,8,6,3,2,2,2,2,10,9,11,10,0,3
350,38,SC Corinthians,EC Juventude,1,1,14,16,6,8,3,2,4,7,17,17,18,17,2,3
351,38,Santos FC,Cruzeiro EC,3,0,19,8,7,2,4,4,9,3,10,7,8,12,1,5
352,38,Atlético Mineiro,CR Vasco da Gama,5,0,19,1,8,1,0,2,6,1,4,12,13,4,3,0
353,38,SC Internacional,RB Bragantino,3,1,15,6,6,1,2,1,2,4,15,15,18,15,3,4
354,38,EC Vitória,São Paulo FC,1,0,21,8,6,5,2,7,10,1,18,16,16,18,1,2
355,38,Ceará SC,SE Palmeiras,1,3,18,14,7,4,4,4,7,7,15,14,14,15,3,1
356,38,Sport Recife,Grêmio FBPA,0,4,11,13,3,2,4,3,1,5,15,6,6,15,1,2
