,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
0,São Paulo FC,Sport Recife,0,0,16,8,11,4,1,3,6,2,20,16,17,21,1,2
1,Cruzeiro EC,Mirassol FC,2,1,8,16,5,5,5,0,2,6,20,18,18,21,1,2
2,Grêmio FBPA,Atlético Mineiro,2,1,12,22,4,5,6,3,1,11,5,17,19,5,1,4
3,Fortaleza EC,Fluminense FC,2,0,5,15,2,9,1,1,4,5,5,15,16,5,4,1
4,EC Juventude,EC Vitória,2,0,9,14,3,3,5,2,3,5,16,16,16,16,0,0
5,CR Flamengo,SC Internacional,1,1,19,5,11,1,0,4,4,2,16,10,10,17,5,1
6,SE Palmeiras,Botafogo FR,0,0,13,13,6,5,5,3,2,2,22,17,18,22,1,0
7,CR Vasco da Gama,Santos FC,2,1,12,11,6,5,1,3,2,3,11,11,11,12,1,0
8,EC Bahia,SC Corinthians,1,1,14,9,6,3,3,4,3,5,15,15,16,15,1,1
9,RB Bragantino,Ceará SC,2,2,18,13,6,6,4,5,9,2,13,13,14,13,2,1
10,SC Corinthians,CR Vasco da Gama,3,0,6,10,2,6,3,1,1,4,15,18,18,16,1,1
11,Ceará SC,Grêmio FBPA,2,0,12,12,5,5,3,4,3,10,16,7,9,18,3,3
12,Botafogo FR,EC Juventude,2,0,16,14,7,7,3,4,3,3,7,12,14,7,1,5
13,Atlético Mineiro,São Paulo FC,0,0,25,6,6,1,4,6,12,4,12,16,16,12,0,1
14,Mirassol FC,Fortaleza EC,1,1,20,7,9,2,2,4,8,1,12,12,15,12,5,3
15,SC Internacional,Cruzeiro EC,3,0,24,6,7,4,1,7,9,2,11,15,19,11,3,3
16,EC Vitória,CR Flamengo,1,2,5,14,1,5,5,2,2,6,16,7,7,17,3,0
17,Sport Recife,SE Palmeiras,1,2,9,7,2,3,2,1,6,3,19,16,17,21,1,0
18,Santos FC,EC Bahia,2,2,22,10,7,5,1,4,9,3,14,13,13,16,4,0
19,RB Bragantino,Botafogo FR,1,0,11,12,2,8,2,2,3,8,11,17,19,11,0,2
20,EC Juventude,Ceará SC,2,1,17,8,10,4,1,1,4,3,15,14,14,15,3,0
21,SE Palmeiras,SC Corinthians,2,0,13,8,7,5,1,3,1,3,18,17,17,18,3,0
22,CR Vasco da Gama,Sport Recife,3,1,10,18,4,5,2,3,1,10,13,10,11,14,0,1
23,EC Bahia,Mirassol FC,1,1,17,5,6,2,2,1,10,2,10,11,11,10,2,3
24,São Paulo FC,Cruzeiro EC,1,1,11,15,4,5,1,1,4,6,20,13,14,21,1,0
25,Grêmio FBPA,CR Flamengo,0,2,10,8,4,3,2,2,3,4,14,11,11,14,1,0
26,Fluminense FC,Santos FC,1,0,13,4,5,3,1,3,3,3,21,14,16,22,1,2
27,Fortaleza EC,SC Internacional,0,0,10,9,6,5,1,1,5,5,13,10,12,13,2,0
28,Atlético Mineiro,EC Vitória,2,2,34,9,10,3,2,8,16,3,10,8,8,10,2,0
29,Ceará SC,CR Vasco da Gama,2,1,11,11,7,6,2,0,1,2,12,13,14,12,1,2
30,Botafogo FR,São Paulo FC,2,2,23,14,9,6,2,6,9,4,4,11,11,4,1,2
31,Mirassol FC,Grêmio FBPA,4,1,11,16,3,4,5,2,2,7,16,12,12,16,1,0
32,Sport Recife,RB Bragantino,0,1,21,16,7,6,6,6,9,3,11,9,10,12,4,3
33,SC Corinthians,Fluminense FC,0,2,10,8,7,2,2,2,7,4,12,12,12,13,0,0
34,SC Internacional,SE Palmeiras,0,1,11,12,4,2,3,2,1,6,14,14,15,16,1,4
35,CR Flamengo,EC Juventude,6,0,18,4,6,2,1,2,6,0,12,14,14,12,0,1
36,Santos FC,Atlético Mineiro,2,0,11,16,4,8,4,3,3,6,17,10,11,18,0,4
37,EC Vitória,Fortaleza EC,2,1,15,9,3,5,3,6,5,5,8,15,15,10,4,4
38,Cruzeiro EC,EC Bahia,3,0,14,7,5,5,1,5,4,5,9,14,15,9,2,0
39,SC Corinthians,Sport Recife,2,1,17,10,9,7,1,2,5,4,12,11,11,12,4,0
40,CR Vasco da Gama,CR Flamengo,0,0,6,17,4,9,7,1,2,11,8,12,14,10,1,1
41,Grêmio FBPA,SC Internacional,1,1,8,14,4,5,4,2,3,7,14,13,14,14,1,1
42,EC Juventude,Mirassol FC,2,2,19,25,7,4,4,4,5,3,10,17,18,10,1,0
43,Atlético Mineiro,Botafogo FR,1,0,13,7,5,2,2,5,8,4,13,13,13,14,1,1
44,Fluminense FC,EC Vitória,1,1,11,7,6,0,2,4,6,4,13,12,12,14,1,1
45,Fortaleza EC,SE Palmeiras,1,2,13,6,7,1,1,3,8,2,12,11,12,13,1,4
46,RB Bragantino,Cruzeiro EC,1,0,20,12,10,5,3,5,4,9,12,16,17,13,1,1
47,EC Bahia,Ceará SC,1,0,13,10,8,5,2,3,3,4,18,14,14,18,5,1
48,SC Internacional,EC Juventude,3,1,13,4,3,2,0,4,9,2,8,16,17,8,4,5
49,Mirassol FC,Atlético Mineiro,2,2,20,16,7,9,4,4,9,7,5,11,11,5,1,3
50,Ceará SC,São Paulo FC,1,1,7,14,4,4,3,1,3,2,18,12,13,19,1,1
51,Sport Recife,Fortaleza EC,0,0,16,11,6,3,1,8,6,6,7,11,11,9,2,3
52,Botafogo FR,Fluminense FC,2,0,15,8,7,5,1,5,6,3,9,20,21,9,2,2
53,CR Flamengo,SC Corinthians,4,0,17,8,7,4,2,2,10,3,12,14,14,12,2,2
54,SE Palmeiras,EC Bahia,0,1,21,11,13,5,4,1,6,4,14,11,12,16,4,1
55,Cruzeiro EC,CR Vasco da Gama,1,0,11,15,6,6,5,3,4,8,12,18,18,12,1,0
