,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
56,EC Vitória,Grêmio FBPA,1,1,14,11,4,2,7,2,6,2,10,20,20,11,1,2
57,Santos FC,RB Bragantino,1,2,19,16,10,5,4,2,6,10,15,13,13,15,3,1
58,São Paulo FC,Fortaleza EC,0,0,14,17,6,7,1,4,5,13,17,13,15,19,2,1
59,Fluminense FC,Sport Recife,2,1,20,11,8,2,4,6,10,6,13,12,12,13,0,6
60,SC Corinthians,SC Internacional,4,2,22,8,8,3,2,5,3,7,12,10,11,13,3,3
61,Ceará SC,EC Vitória,1,0,18,12,6,6,3,7,3,3,29,14,15,31,5,3
62,EC Bahia,Botafogo FR,1,0,9,16,4,4,4,1,3,3,5,10,11,7,2,0
63,CR Vasco da Gama,SE Palmeiras,0,1,13,16,4,11,1,4,7,11,8,11,11,8,1,2
64,Cruzeiro EC,CR Flamengo,2,1,17,6,2,2,3,9,6,5,7,18,18,9,2,1
65,RB Bragantino,Mirassol FC,1,0,15,12,7,6,3,3,4,4,11,8,8,12,1,0
66,EC Juventude,Atlético Mineiro,0,1,13,26,4,4,6,5,3,5,15,11,12,16,2,3
67,Fortaleza EC,EC Juventude,5,0,20,4,5,1,1,8,5,4,13,13,13,14,0,3
68,Mirassol FC,SC Corinthians,2,1,14,10,6,3,2,3,4,5,17,12,14,19,4,0
69,Grêmio FBPA,RB Bragantino,1,1,16,11,7,7,2,2,6,4,11,14,14,11,0,4
70,EC Vitória,CR Vasco da Gama,2,1,12,16,4,6,4,2,6,3,16,7,7,17,1,0
71,CR Flamengo,EC Bahia,1,0,14,6,3,4,2,3,8,2,8,10,11,9,3,1
72,Sport Recife,Cruzeiro EC,0,4,11,17,7,9,3,4,7,4,5,11,11,5,0,2
73,SE Palmeiras,São Paulo FC,1,0,17,6,10,2,2,3,10,1,15,11,12,16,2,0
74,Atlético Mineiro,Fluminense FC,3,2,14,5,5,2,0,2,10,0,6,15,15,7,3,0
75,Botafogo FR,SC Internacional,4,0,12,19,4,8,5,1,2,7,9,11,11,10,2,1
76,Santos FC,Ceará SC,0,0,14,13,6,7,6,1,9,6,19,11,11,21,5,3
77,Ceará SC,Sport Recife,2,0,7,9,2,4,4,1,5,8,13,12,14,16,3,2
78,CR Vasco da Gama,Fortaleza EC,3,0,14,10,4,6,3,4,4,7,10,11,12,11,3,1
79,São Paulo FC,Grêmio FBPA,2,1,20,3,9,0,2,3,8,3,12,14,14,13,1,0
80,SC Corinthians,Santos FC,1,0,11,6,5,3,1,1,5,3,13,8,8,14,0,0
81,EC Bahia,EC Vitória,2,1,8,23,3,11,7,0,1,10,23,11,12,23,0,1
82,EC Juventude,Fluminense FC,1,1,9,17,5,5,6,0,5,5,13,15,18,13,0,0
83,CR Flamengo,Botafogo FR,0,0,15,8,4,5,2,3,7,3,23,9,9,23,2,2
84,RB Bragantino,SE Palmeiras,1,2,9,15,3,3,3,1,8,12,12,15,15,12,1,0
85,Cruzeiro EC,Atlético Mineiro,0,0,21,7,8,4,3,4,15,1,16,14,15,17,1,2
86,SC Internacional,Mirassol FC,1,1,25,8,8,3,1,11,6,2,9,10,10,10,1,3
87,Fluminense FC,CR Vasco da Gama,2,1,17,7,10,4,1,4,6,2,15,11,11,16,0,1
88,São Paulo FC,Mirassol FC,0,2,13,6,2,3,1,3,5,4,10,18,19,11,0,1
89,Atlético Mineiro,SC Corinthians,0,0,13,6,8,6,0,3,1,1,18,24,24,18,0,0
90,Grêmio FBPA,EC Bahia,1,0,9,16,5,9,3,1,4,17,12,7,10,13,2,2
91,SE Palmeiras,CR Flamengo,0,2,13,7,4,1,1,3,3,3,17,13,13,18,2,1
92,Sport Recife,SC Internacional,1,1,14,17,6,8,2,3,6,4,10,10,11,10,3,1
93,EC Vitória,Santos FC,0,1,19,8,8,4,1,8,5,5,15,16,16,15,2,1
94,Fortaleza EC,Cruzeiro EC,0,2,10,17,4,5,6,1,6,8,10,12,14,10,0,2
95,RB Bragantino,EC Juventude,1,0,12,7,4,4,2,4,6,2,22,17,17,22,1,0
96,Botafogo FR,Ceará SC,3,2,16,9,4,4,1,7,6,0,10,12,12,11,2,3
97,EC Bahia,São Paulo FC,2,1,13,14,2,5,3,5,5,3,10,13,13,11,2,2
98,CR Vasco da Gama,RB Bragantino,0,2,20,4,8,1,1,4,7,3,9,12,13,9,1,2
99,EC Juventude,Grêmio FBPA,0,2,14,18,4,8,7,5,5,7,15,11,11,15,4,0
100,CR Flamengo,Fortaleza EC,5,0,16,11,3,4,3,8,2,4,9,10,10,11,2,2
101,SC Corinthians,EC Vitória,0,0,12,6,6,3,2,3,8,3,15,7,8,16,5,2
102,Ceará SC,Atlético Mineiro,0,1,14,8,8,3,3,3,8,8,15,14,15,16,3,3
103,Cruzeiro EC,SE Palmeiras,2,1,14,18,8,5,4,1,5,13,13,17,17,13,2,0
104,SC Internacional,Fluminense FC,0,2,15,8,4,4,1,4,9,1,10,13,13,10,1,1
105,RB Bragantino,EC Bahia,0,3,9,14,6,7,3,2,4,1,10,3,3,11,1,0
106,EC Vitória,Cruzeiro EC,0,0,9,18,4,10,2,2,9,4,16,16,16,18,4,4
107,Fortaleza EC,Santos FC,2,3,32,8,10,4,1,8,15,0,15,16,16,17,5,2
108,Grêmio FBPA,SC Corinthians,1,1,16,12,4,5,2,5,4,6,12,12,13,12,1,3
109,São Paulo FC,CR Vasco da Gama,1,3,11,14,5,4,6,3,4,3,17,18,18,17,0,1
110,Atlético Mineiro,SC Internacional,2,0,13,10,6,6,2,2,6,5,14,13,18,14,5,0
111,Botafogo FR,Mirassol FC,3,3,15,12,7,5,3,1,6,5,10,17,18,11,1,1
112,SE Palmeiras,EC Juventude,4,1,19,8,6,6,0,6,6,0,14,9,9,15,1,0
113,Fluminense FC,Ceará SC,1,0,12,6,5,6,0,4,9,3,9,17,17,10,2,2
114,Sport Recife,CR Flamengo,1,5,7,36,2,14,7,1,4,15,5,5,5,5,0,1
115,CR Flamengo,São Paulo FC,2,0,22,6,4,3,0,8,7,1,8,9,12,9,0,2
116,SC Internacional,EC Vitória,1,0,20,11,9,4,4,2,2,5,13,15,15,14,2,1
117,CR Vasco da Gama,Botafogo FR,0,2,11,21,3,10,4,5,5,3,13,11,12,14,0,1
118,EC Bahia,Atlético Mineiro,2,1,18,10,9,4,1,3,4,7,11,12,12,11,0,0
119,SC Corinthians,RB Bragantino,1,2,13,9,3,2,2,6,10,2,14,17,18,16,3,0
120,Cruzeiro EC,Grêmio FBPA,4,1,17,11,5,7,1,5,6,3,10,14,14,10,1,1
121,Fortaleza EC,Ceará SC,0,1,13,14,5,8,2,0,3,5,13,11,12,13,5,4
122,EC Juventude,Sport Recife,2,0,5,21,2,7,5,1,1,8,15,17,17,15,2,2
123,Mirassol FC,Fluminense FC,2,1,11,12,3,7,2,4,5,5,13,12,13,13,3,0
124,Santos FC,SE Palmeiras,1,0,17,11,7,6,4,4,8,5,14,10,11,15,0,2
125,SE Palmeiras,Mirassol FC,1,1,16,4,8,0,0,2,7,3,16,13,13,17,2,2
126,Ceará SC,SC Corinthians,0,1,16,5,8,3,1,2,7,3,12,16,16,12,2,2
127,Santos FC,CR Flamengo,1,0,8,10,2,3,5,2,3,8,14,16,16,15,1,0
128,Botafogo FR,EC Vitória,0,0,23,8,11,4,1,7,6,5,16,9,10,19,1,1
129,RB Bragantino,São Paulo FC,2,2,17,14,7,7,3,1,6,4,17,11,11,18,0,0
130,Fluminense FC,Cruzeiro EC,0,2,28,8,16,3,3,7,7,2,12,12,12,13,0,2
131,Grêmio FBPA,Fortaleza EC,2,1,10,12,4,5,2,2,2,5,26,22,24,26,0,1
132,EC Juventude,CR Vasco da Gama,2,0,10,14,3,8,2,2,1,5,10,9,9,11,3,0
133,EC Bahia,SC Internacional,1,0,18,9,7,6,2,6,6,5,13,7,9,13,0,1
134,Fortaleza EC,EC Bahia,1,1,15,17,8,9,3,1,9,3,6,14,16,6,3,2
135,CR Vasco da Gama,Grêmio FBPA,1,1,31,9,12,4,3,6,12,2,14,15,16,15,1,1
136,Mirassol FC,Santos FC,3,0,19,8,3,6,0,8,9,2,9,14,16,9,3,2
137,São Paulo FC,SC Corinthians,2,0,16,9,7,4,3,1,6,5,7,17,18,9,0,0
138,SC Internacional,Ceará SC,1,0,10,9,3,4,2,3,7,5,6,14,14,6,4,5
139,Cruzeiro EC,EC Juventude,4,0,16,6,7,4,1,3,8,3,10,15,15,10,1,0
140,EC Vitória,RB Bragantino,1,0,9,15,4,8,2,1,2,5,13,15,18,13,2,0
